"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate","gdp_per_capita","literacy_percent","income_status","literacy_status"
"86",86,"Jharkhand",39.86,903,2014,-7.6687116564,22.6542900151,"NDA",329.66238,12.0911582328563,1658,5.02938794532758,2200,66.95,"Mid","High"
"87",87,"Jharkhand",39.86,736,2015,-18.4939091916,18.4646261917,"NDA",329.66238,12.0911582328563,1536,4.65931235465812,1300,73.18,"High","Mid"
"88",88,"Jharkhand",39.86,525,2016,-28.6684782609,13.171098846,"NDA",329.66238,12.0911582328563,1514,4.59257741207838,1000,63.82,"High","High"
"89",89,"Karnataka",104.75,2174,2009,NA,20.754176611,"NDA",611.30704,17.1354152898354,1702,2.78419826475416,1800,71.04,"Mid","High"
"90",90,"Karnataka",104.75,2505,2010,15.2253909844,23.9140811456,"NDA",611.30704,17.1354152898354,1805,2.95268969910767,4300,87.4,"Low","Low"
"91",91,"Karnataka",104.75,2481,2011,-0.9580838323,23.6849642005,"NDA",611.30704,17.1354152898354,1820,2.97722728663488,3400,79.31,"Low","Mid"
"92",92,"Karnataka",104.75,2605,2012,4.9979846836,24.8687350835,"UPA",611.30704,17.1354152898354,1860,3.04266085337411,3400,76.64,"Low","Mid"
"93",93,"Karnataka",104.75,2566,2013,-1.4971209213,24.4964200477,"UPA",611.30704,17.1354152898354,1601,2.61897850873761,2900,83.78,"Low","Low"
"94",94,"Karnataka",104.75,1865,2014,-27.3187840998,17.8042959427,"UPA",611.30704,17.1354152898354,1636,2.67623287963443,1800,68.74,"Mid","High"
"95",95,"Karnataka",104.75,1852,2015,-0.6970509383,17.6801909308,"UPA",611.30704,17.1354152898354,1557,2.54700158532445,1200,67.63,"High","High"
"96",96,"Karnataka",104.75,1869,2016,0.9179265659,17.8424821002,"UPA",611.30704,17.1354152898354,1573,2.57317501202015,3300,75.6,"Low","Mid"
"97",97,"Kerala",30.4,467,2009,NA,15.3618421053,"UPA",333.87677,9.10515577349092,343,1.02732514154848,3100,93.91,"Low","Low"
"98",98,"Kerala",30.4,583,2010,24.8394004283,19.1776315789,"UPA",333.87677,9.10515577349092,363,1.08722748216355,1600,70.63,"High","High"
"99",99,"Kerala",30.4,761,2011,30.5317324185,25.0328947368,"UPA",333.87677,9.10515577349092,365,1.09321771622506,3600,82.91,"Low","Low"
"100",100,"Kerala",30.4,810,2012,6.4388961892,26.6447368421,"UPA",333.87677,9.10515577349092,374,1.12017376950184,920,79.85,"High","Mid"
"101",101,"Kerala",30.4,756,2013,-6.6666666667,24.8684210526,"UPA",333.87677,9.10515577349092,372,1.11418353544034,1600,75.48,"High","Mid"
"102",102,"Kerala",30.4,712,2014,-5.8201058201,23.4210526316,"UPA",333.87677,9.10515577349092,367,1.09920795028657,2500,91.58,"Mid","Low"
"103",103,"Kerala",30.4,696,2015,-2.2471910112,22.8947368421,"UPA",333.87677,9.10515577349092,334,1.0003690882717,1400,80.11,"High","Low"
"104",104,"Kerala",30.4,810,2016,16.3793103448,26.6447368421,"UPA",333.87677,9.10515577349092,305,0.913510694379846,1600,73.45,"High","Mid"
"105",105,"Madhya Pradesh",113.42,3040,2009,NA,26.8030329748,"NDA",725.97565,15.6231135300475,2386,3.28661161018279,2400,76.68,"Mid","Mid"
"106",106,"Madhya Pradesh",113.42,3374,2010,10.9868421053,29.7478398871,"NDA",725.97565,15.6231135300475,2423,3.33757750690399,1600,67.06,"High","High"
