"","states","year","party","murder","attempt_to_murder","culpable_homicide","rape","kidnapping_abduction","dacoity","preparation_of_dacoity","crimes_against_SC","population"
"34","HARYANA",2014,"UPA",4.36238893411022,3.08838203924801,0.256379096489298,4.63060091197594,12.1563134673849,0.678418532248605,0.319487797163587,3.98373673006448,253.53081
"35","HARYANA",2015,"NDA",3.95218237972734,3.38814836745088,0.240601921320726,4.22039435759307,13.8839141483435,0.792803052220754,0.418095141967164,5.21435639321312,253.53081
"36","HIMACHAL PRADESH",2009,"NDA",1.82308518810374,1.06468174985259,0.189600859562789,2.66899671538388,2.18770222572449,0.0583387260193197,0,4.41915849596347,68.56509
"37","HIMACHAL PRADESH",2010,"NDA",1.92517795863755,1.07926643135742,0.175016178057959,2.33354904077279,2.82942821193701,0.0291693630096599,0,5.54217897183538,68.56509
"38","HIMACHAL PRADESH",2011,"NDA",1.89600859562789,0.729234075241497,0.0875080890289796,2.45022649281143,3.09195247902395,0.0145846815048299,0,5.95055005397061,68.56509
"39","HIMACHAL PRADESH",2012,"UPA",1.64806901004578,0.772988119755987,0.131262133543469,2.66899671538388,2.50856521883075,0.0145846815048299,0,3.67533973921714,68.56509
"40","HIMACHAL PRADESH",2013,"UPA",1.51680687650231,1.0209277053381,0.0875080890289796,3.64617037620748,5.13380788970014,0.204185541067619,0,7.19024798188116,68.56509
"41","HIMACHAL PRADESH",2014,"UPA",1.89600859562789,0.918834934804286,0.131262133543469,4.12746486586687,4.4337431774683,0.0583387260193197,0,6.92772371479422,68.56509
"42","HIMACHAL PRADESH",2015,"UPA",1.54597623951197,0.933419616309116,0.10209277053381,3.5586622871785,4.76919085207939,0.0145846815048299,0,7.43818756746327,68.56509
"43","JHARKHAND",2009,"UPA",4.96265300274784,3.86455985666305,0.31547427401331,2.1810192597651,2.508627159702,1.24976347012965,0.160770543487552,0.285140209204338,329.66238
"44","JHARKHAND",2010,"UPA",5.12342354623539,3.11834186236234,0.248739331433572,2.34482320973355,2.96667153831747,1.01619117110057,0.0576347231370471,0.351875151784077,329.66238
"45","JHARKHAND",2011,"UPA",5.29936112212743,2.1779858532842,0.251772737914469,2.37819068102342,2.85443549852428,0.937322602597239,0.121336259235889,0.00303340648089721,329.66238
"46","JHARKHAND",2012,"UPA",5.13859057863988,2.55412825691545,0.279073396242544,2.46312606248854,3.20327724382746,0.861487440574809,0.100102413869608,0.00303340648089721,329.66238
"47","JHARKHAND",2013,"UPA",4.94445256386246,2.34785661621444,0.324574493456002,3.65222140300025,3.85545963722036,0.703750303568154,0.0697683490606359,0.00303340648089721,329.66238
"48","JHARKHAND",2014,"NDA",5.02938794532758,2.75129967817377,0.178970982372936,3.18507680494207,4.31653742231673,0.74015118133892,0.0606681296179443,0.00606681296179443,329.66238
"49","JHARKHAND",2015,"NDA",4.65931235465812,3.00913922905004,0.103135820350505,3.19417702438477,4.25283588621789,0.640048767469312,0.0515679101752526,0,329.66238
"50","KARNATAKA",2009,"NDA",2.78419826475416,2.62879354374849,0.129231294309976,0.832642136756678,1.45916853828479,0.446584092995232,0.566000352294323,0,611.30704
"51","KARNATAKA",2010,"NDA",2.95268969910767,3.0263024616893,0.153768881837186,0.958601752729692,2.24764301749249,0.444948253826751,0.490751750544211,0,611.30704
"52","KARNATAKA",2011,"NDA",2.97722728663488,3.00503655249905,0.13904632932086,1.04039371115373,2.28199564003058,0.35006958205487,0.652699828223801,0.0016358391684807,611.30704
"53","KARNATAKA",2012,"UPA",3.04266085337411,3.14571872098839,0.11614458096213,1.01585612362652,2.3736026334655,0.345162064549428,0.876809794305657,1.03221451531132,611.30704
"54","KARNATAKA",2013,"UPA",2.61897850873761,3.24550491026571,0.150497203500225,1.68491434353512,3.00340071333057,0.458034967174597,0.83754965426212,0.943879200213366,611.30704
"55","KARNATAKA",2014,"UPA",2.67623287963443,3.63974214986956,0.16194807767959,2.16585105906845,3.1620771126732,0.477665037196365,0.685416611593415,1.04039371115373,611.30704
"56","KARNATAKA",2015,"UPA",2.54700158532445,4.04052274614734,0.134138811815418,0.963509270235134,3.85076540260357,0.438404897152828,0.74430682165872,1.13854406126257,611.30704
"57","KERALA",2009,"UPA",1.02732514154848,1.22200774854747,0.299511703075359,1.70122647346804,0.76674995987292,0.335453107444402,0.796701130180456,2.92922445607701,333.87677
"58","KERALA",2010,"UPA",1.08722748216355,1.08123724810205,0.257580064644809,1.89890419749778,0.781725545026688,0.221638660275766,0.661920863796544,2.70459067877049,333.87677
"59","KERALA",2011,"UPA",1.09321771622506,1.56045597302262,0.314487288229127,3.39047247881307,0.895539992195324,0.212653309183505,0.73380367253463,2.20440613463464,333.87677
"60","KERALA",2012,"UPA",1.12017376950184,1.48857316428454,0.320477522290634,3.05202425433791,0.841627885641759,0.215648426214259,0.865588821887788,1.57243644114564,333.87677
"61","KERALA",2013,"UPA",1.11418353544034,1.80605556954442,0.311492171198374,3.65703789455014,0.754769491749905,0.200672841060491,0.778730427995934,6.51138442485831,333.87677
"62","KERALA",2014,"UPA",1.09920795028657,2.02469911278943,0.251589830583302,4.03442264042509,0.664915980827298,0.212653309183505,0.251589830583302,7.50276816203775,333.87677
"63","KERALA",2015,"UPA",1.0003690882717,1.75813369705236,0.260575181675562,3.76186699062651,0.811676715334223,0.27555076682933,0.19168748996823,7.43088535329966,333.87677
"64","MADHYA PRADESH",2009,"NDA",3.28661161018279,3.04693414992638,0.161162430172417,4.12961509108467,1.42704510819337,0.161162430172417,0.214883240229889,3.58827462050552,725.97565
"65","MADHYA PRADESH",2010,"NDA",3.33757750690399,3.1364688333555,0.169427170181259,4.31832665461989,1.63504106508255,0.151520233495435,0.151520233495435,3.53455381044805,725.97565
