"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate"
"112",112,"Madhya Pradesh",113.42,4922,2016,38.80428652,43.3962264151,"n",725.97565,15.6231135300475,2004,2.76042316295319
"113",113,"Maharashtra",132.76,1096,2009,NA,8.2554986442,"u",1123.72972,11.8142287809207,2653,2.36088799004088
"114",114,"Maharashtra",132.76,1132,2010,3.2846715328,8.526664658,"u",1123.72972,11.8142287809207,2744,2.44186831687605
"115",115,"Maharashtra",132.76,1143,2011,0.9717314488,8.60952094,"u",1123.72972,11.8142287809207,2818,2.50772045078598
"116",116,"Maharashtra",132.76,1091,2012,-4.5494313211,8.2178366978,"u",1123.72972,11.8142287809207,2712,2.41339171842852
"117",117,"Maharashtra",132.76,1678,2013,53.8038496792,12.6393492016,"u",1123.72972,11.8142287809207,2512,2.23541297813143
"118",118,"Maharashtra",132.76,1768,2014,5.3635280095,13.3172642362,"u",1123.72972,11.8142287809207,2670,2.37601618296613
"119",119,"Maharashtra",132.76,1804,2015,2.036199095,13.5884302501,"n",1123.72972,11.8142287809207,2509,2.23274329702698
"120",120,"Maharashtra",132.76,1750,2016,-2.9933481153,13.1816812293,"n",1123.72972,11.8142287809207,2299,2.04586561971503
"121",121,"Manipur",0.97,0,2009,NA,0,"u",27.21756,3.5638756743808,131,4.81306920973078
"122",122,"Manipur",0.97,0,2010,NA,0,"u",27.21756,3.5638756743808,92,3.38017074271169
"123",123,"Manipur",0.97,0,2011,NA,0,"u",27.21756,3.5638756743808,78,2.86579693403817
"124",124,"Manipur",0.97,0,2012,NA,0,"u",27.21756,3.5638756743808,83,3.04950186570729
"125",125,"Manipur",0.97,1,2013,Inf,1.0309278351,"u",27.21756,3.5638756743808,93,3.41691172904551
"126",126,"Manipur",0.97,1,2014,0,1.0309278351,"u",27.21756,3.5638756743808,96,3.52713468804698
"127",127,"Manipur",0.97,0,2015,-100,0,"u",27.21756,3.5638756743808,81,2.97601989303964
"128",128,"Manipur",0.97,2,2016,Inf,2.0618556701,"u",27.21756,3.5638756743808,78,2.86579693403817
"129",129,"Meghalaya",0.17,0,2009,NA,0,"u",29.64007,0.573547903226949,128,4.31847833017938
"130",130,"Meghalaya",0.17,0,2010,NA,0,"u",29.64007,0.573547903226949,134,4.52090700190654
"131",131,"Meghalaya",0.17,0,2011,NA,0,"u",29.64007,0.573547903226949,170,5.73547903226949
"132",132,"Meghalaya",0.17,0,2012,NA,0,"u",29.64007,0.573547903226949,137,4.62212133777012
"133",133,"Meghalaya",0.17,0,2013,NA,0,"u",29.64007,0.573547903226949,166,5.60052658445139
"134",134,"Meghalaya",0.17,0,2014,NA,0,"u",29.64007,0.573547903226949,159,5.3643598007697
"135",135,"Meghalaya",0.17,0,2015,NA,0,"u",29.64007,0.573547903226949,149,5.02697868122444
"136",136,"Meghalaya",0.17,0,2016,NA,0,"u",29.64007,0.573547903226949,108,3.64371609108885
